City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Mamallapuram,IN,80.06,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
263,Fare,PF,80.76,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
267,Velingara,SN,82.94,overcast clouds,13.15,-14.1167,Hotel Najla
269,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
277,Kavaratti,IN,80.94,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
279,Paranhos,BR,76.89,scattered clouds,-23.8928,-55.4311,Hotel Saron
281,Kuching,MY,75.42,moderate rain,1.55,110.3333,The Ranee Boutique Suites
290,Bentiu,SS,82.47,overcast clouds,9.2333,29.8333,Mandela hôtel
294,Mayumba,GA,77.36,overcast clouds,-3.432,10.6554,LIKWALE LODGE
301,Pueblo,US,77.85,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
304,West Odessa,US,77.41,clear sky,31.8424,-102.4988,Corporate Mobile Housing
309,Gladstone,AU,75.13,broken clouds,-23.85,151.25,Highpoint International
315,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
321,Almeirim,BR,81.41,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
328,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
329,Puerto Leguizamo,CO,79.47,overcast clouds,-0.1934,-74.7819,la casona de juancho
333,Ilhabela,BR,75.47,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
334,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
335,Balabac,PH,80.06,moderate rain,7.9868,117.0645,Sing and Swing Lodge
346,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
351,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
358,Madang,PG,77.38,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
361,Guasdualito,VE,79.81,overcast clouds,7.2424,-70.7324,Hotel Cuibas
363,Mana,GF,79.7,heavy intensity rain,5.6592,-53.7767,LE SAMANA
368,Matara,LK,76.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
382,Port Blair,IN,79.52,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
386,Puerto Lopez,CO,82.24,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
390,Hobyo,SO,79.93,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
391,Acarau,BR,81.57,overcast clouds,-2.8856,-40.12,castelo pizzaria
393,Sangre Grande,TT,85.96,broken clouds,10.5835,-61.1177,Lotus drive
394,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
395,Prachuap Khiri Khan,TH,79.68,light rain,12.2167,99.75,ผกากรองรีสอร์ท
396,Buenavista,PH,75.04,overcast clouds,8.9769,125.4089,Room For Rent
399,Mitsamiouli,KM,80.08,clear sky,-11.3847,43.2844,Foyer ADM
400,Karratha,AU,80.11,clear sky,-20.7377,116.8463,ibis Styles Karratha
