City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Carnarvon,AU,-24.8667,113.6333,69.87,78,0,21.85,clear sky
80,Vangaindrano,MG,-23.35,47.6,71.49,85,100,4.25,light rain
81,Nobres,BR,-14.7203,-56.3275,85.98,69,87,5.35,overcast clouds
82,Chokurdakh,RU,70.6333,147.9167,-13.72,99,100,3.85,overcast clouds
83,Cabo San Lucas,MX,22.8909,-109.9124,87.1,61,40,5.01,scattered clouds
84,Aklavik,CA,68.2191,-135.0107,-18.4,69,20,4.61,few clouds
85,Cherskiy,RU,68.75,161.3,-14.96,97,100,6.22,overcast clouds
86,Itoman,JP,26.1247,127.6694,72.37,80,20,10.36,few clouds
87,Providencia,MX,28.7167,-111.5833,87.85,35,0,3.65,clear sky
88,Luanda,AO,-8.8368,13.2343,78.49,83,100,7.47,overcast clouds
89,Vaini,TO,-21.2,-175.2,80.76,69,75,11.5,broken clouds
90,Makakilo City,US,21.3469,-158.0858,76.69,62,90,12.66,overcast clouds
91,Faanui,PF,-16.4833,-151.75,80.22,77,100,12.37,light rain
92,Naryan-Mar,RU,67.6713,53.087,8.8,96,97,8.75,overcast clouds
93,Hualmay,PE,-11.0964,-77.6139,70.72,73,32,11.39,scattered clouds
94,Thompson,CA,55.7435,-97.8558,21.36,93,90,5.75,light snow
95,Barrow,US,71.2906,-156.7887,-18.38,76,1,6.91,clear sky
96,Longyearbyen,SJ,78.2186,15.6401,8.44,78,33,21.85,scattered clouds
97,Port-Gentil,GA,-0.7193,8.7815,78.76,89,20,4.61,few clouds
98,Sale,MA,34.0389,-6.8166,56.75,100,75,0.0,broken clouds
99,East London,ZA,-33.0153,27.9116,69.78,80,39,13.18,scattered clouds
100,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,81,11.01,broken clouds
101,Ilulissat,GL,69.2167,-51.1,33.82,80,75,5.75,light rain
102,Chuy,UY,-33.6971,-53.4616,65.08,92,100,20.51,moderate rain
103,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,0,14.97,clear sky
104,Caravelas,BR,-17.7125,-39.2481,81.0,76,3,11.7,clear sky
105,Lebu,CL,-37.6167,-73.65,58.6,75,77,18.32,broken clouds
106,Bandarbeyla,SO,9.4942,50.8122,78.03,71,16,18.72,few clouds
107,Mopti,ML,14.6667,-4.0,84.04,12,4,8.32,clear sky
108,Lompoc,US,34.6391,-120.4579,86.11,39,1,4.61,clear sky
109,Sola,VU,-13.8833,167.55,82.17,74,100,11.5,overcast clouds
