City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Belen,TR,2021-11-24 05:51:50,36.4891,36.2233,53.91,70,100,3.36
68,Port Blair,IN,2021-11-24 05:51:50,11.6667,92.75,83.82,78,87,16.62
69,Norman Wells,CA,2021-11-24 05:51:51,65.282,-126.8329,-16.87,98,98,0.25
70,Luderitz,NA,2021-11-24 05:51:51,-26.6481,15.1594,68.04,57,55,16.24
71,Port Lincoln,AU,2021-11-24 05:51:51,-34.7333,135.8667,70.39,68,82,10.87
72,Tongchuan,CN,2021-11-24 05:51:51,35.0806,109.0897,56.25,21,0,7.78
73,Altay,CN,2021-11-24 05:51:52,47.8667,88.1167,33.89,90,100,1.25
74,Brae,GB,2021-11-24 05:51:52,60.3964,-1.353,48.11,63,79,21.79
75,Camocim,BR,2021-11-24 05:51:52,-2.9022,-40.8411,78.28,82,91,9.06
76,Kenai,US,2021-11-24 05:51:53,60.5544,-151.2583,15.15,85,90,5.75
77,Khatanga,RU,2021-11-24 05:51:53,71.9667,102.5,-2.15,85,99,8.77
78,Kodiak,US,2021-11-24 05:51:53,57.79,-152.4072,15.31,57,90,10.36
79,Mecca,SA,2021-11-24 05:51:54,21.4267,39.8261,78.58,39,0,1.5
80,Anjozorobe,MG,2021-11-24 05:51:54,-18.4,47.8667,77.32,46,45,4.76
81,Itaituba,BR,2021-11-24 05:51:54,-4.2761,-55.9836,73.87,89,77,1.7
82,Mahebourg,MU,2021-11-24 05:51:55,-20.4081,57.7,82.69,65,40,16.11
83,Bon Accord,CA,2021-11-24 05:51:55,53.8335,-113.4187,6.35,85,20,3.44
84,Ribeira Grande,PT,2021-11-24 05:51:55,38.5167,-28.7,67.03,82,67,18.48
85,Tuktoyaktuk,CA,2021-11-24 05:51:55,69.4541,-133.0374,-11.2,77,75,6.91
86,Port Elizabeth,ZA,2021-11-24 05:51:56,-33.918,25.5701,61.11,88,75,5.75
87,Yellowknife,CA,2021-11-24 05:51:56,62.456,-114.3525,-12.59,95,40,4.0
88,Ponta Do Sol,PT,2021-11-24 05:51:57,32.6667,-17.1,68.0,83,100,10.29
89,Altamont,US,2021-11-24 05:51:43,42.2068,-121.7372,30.78,86,1,4.61
90,Swellendam,ZA,2021-11-24 05:51:57,-34.0226,20.4417,61.9,68,100,8.16
91,Te Anau,NZ,2021-11-24 05:51:57,-45.4167,167.7167,62.2,61,98,2.95
92,Vyazma,RU,2021-11-24 05:51:57,55.2104,34.2951,22.73,89,55,13.18
93,Bure,ET,2021-11-24 05:52:58,10.7,37.0667,65.32,49,70,3.47
94,Vaini,TO,2021-11-24 05:52:58,-21.2,-175.2,84.36,79,40,2.3
95,Liku,ID,2021-11-24 05:52:58,-0.7275,119.8922,82.67,84,80,3.71
96,Hobart,AU,2021-11-24 05:52:58,-42.8794,147.3294,72.1,70,75,9.22
97,Rabaul,PG,2021-11-24 05:52:59,-4.1967,152.1721,85.53,62,35,3.44
98,Omsukchan,RU,2021-11-24 05:52:59,62.5333,155.8,-10.39,100,99,2.46
99,Pocatello,US,2021-11-24 05:53:00,42.8713,-112.4455,33.71,75,90,15.99
100,Ancud,CL,2021-11-24 05:53:00,-41.8697,-73.8203,54.93,96,9,0.98
101,Dunedin,NZ,2021-11-24 05:53:00,-45.8742,170.5036,57.97,76,100,8.59
102,Mar Del Plata,AR,2021-11-24 05:53:01,-38.0023,-57.5575,65.08,52,0,3.0
103,New Norfolk,AU,2021-11-24 05:53:01,-42.7826,147.0587,71.74,66,96,1.01
104,Saint-Pierre,RE,2021-11-24 05:53:01,-21.3393,55.4781,83.84,66,0,10.36
105,Jamestown,US,2021-11-24 05:52:52,42.097,-79.2353,29.79,78,1,3.0
106,Pisco,PE,2021-11-24 05:53:02,-13.7,-76.2167,62.65,88,0,6.91
107,Dingle,PH,2021-11-24 05:53:02,10.9995,122.6711,82.92,81,100,14.2
108,Luena,AO,2021-11-24 05:53:02,-11.7833,19.9167,68.4,80,92,0.87
109,Kapaa,US,2021-11-24 05:53:02,22.0752,-159.319,74.12,59,25,7.49
110,Severo-Kurilsk,RU,2021-11-24 05:53:03,50.6789,156.125,37.38,97,100,25.68
111,Port-Gentil,GA,2021-11-24 05:53:03,-0.7193,8.7815,75.16,100,20,3.44
112,Margate,GB,2021-11-24 05:49:42,51.3813,1.3862,44.69,87,11,5.91
113,Saldanha,ZA,2021-11-24 05:53:03,-33.0117,17.9442,62.65,71,83,18.79
114,San Quintin,MX,2021-11-24 05:53:04,30.4833,-115.95,60.39,85,2,1.39
115,Luwuk,ID,2021-11-24 05:53:04,-0.9516,122.7875,84.04,79,96,1.19
